1,1044
11,244
21,159
31,171
41,138
51,122
61,130
71,118
81,108
91,115
101,105
111,115
121,120
131,130
141,118
151,143
161,121
171,125
181,132
191,121
201,112
211,135
221,118
231,119
241,127
251,106
261,118
271,128
281,159
291,213
301,147
311,135
321,123
331,135
341,121
351,125
361,122
371,119
381,127
391,151
401,103
411,106
421,115
431,114
441,118
451,136
461,139
471,126
481,155
491,129
501,112
511,122
521,129
531,114
541,145
551,133
561,157
571,152
581,163
591,145
601,161
611,159
621,181
631,152
641,172
651,162
661,197
671,148
681,126
691,134
701,143
711,137
721,143
731,147
741,155
751,136
761,167
771,151
781,150
791,157
801,169
811,163
821,164
831,168
841,169
851,161
861,195
871,181
881,183
891,166
901,204
911,194
921,176
931,194
941,176
951,197
961,215
971,211
981,193
991,261
1001,181
